id,userPrincipalName,displayName,objectType,userType,isUser,isGroup,isGuest
0197e916-a3fd-4392-8006-8926f0f60688,,DVARNEYDELL,device,,FALSE,FALSE,FALSE
856b388f-9102-4cea-8bb5-61c8b0db8e1f,,MKochX1,device,,FALSE,FALSE,FALSE
f68609be-85b0-407c-ac53-ac3be5a017e5,,rgore-lenovo,device,,FALSE,FALSE,FALSE
5274f918-f2ac-4e70-abe7-6cd51c1a4566,,jfernandez-lenovo,device,,FALSE,FALSE,FALSE
fefa8de8-c1ac-4b33-a227-b9a88c4d1216,,mhumby-lenovo,device,,FALSE,FALSE,FALSE
5ffb6675-44de-4a6d-8022-ee085028d408,,ACipriani-L14,device,,FALSE,FALSE,FALSE
8cd0f2b4-b001-4c8d-95ce-8a6a1cce7a91,,CZavinski-L14,device,,FALSE,FALSE,FALSE
6c617fa7-24c2-406b-ab30-169616c08ab9,,GGabsalyam-T490,device,,FALSE,FALSE,FALSE
9dd445a8-c8a4-4cba-af49-ce1e214a224d,,MDavis-X1,device,,FALSE,FALSE,FALSE
2cb8f8c1-a5ed-4520-83c6-1785d0eecc73,,ABETKER-L14,device,,FALSE,FALSE,FALSE
29794fe5-4394-4900-b668-de3e3d935cc1,,VMascitelli-L14,device,,FALSE,FALSE,FALSE
1c8f2231-bbea-48cc-838f-e0faab278a7b,,SPARE01-L14,device,,FALSE,FALSE,FALSE
d164423b-a822-4ffe-b312-aa954422fa03,,RGOI-L14,device,,FALSE,FALSE,FALSE
11d94f65-4614-42be-89ac-90e340770d62,,SPARE01-L14,device,,FALSE,FALSE,FALSE
114fdb4b-662a-46fb-a892-ebd0809f0d3a,,JHarris-L13Yoga,device,,FALSE,FALSE,FALSE
14b9f810-3144-4b39-aa27-2048b79c05c1,,MWong-Yoga13,device,,FALSE,FALSE,FALSE
d9c89a27-103a-46f9-a484-461426454e90,,TRoot-Yoga13,device,,FALSE,FALSE,FALSE
ac4fa1d8-68ad-4b4f-9882-a1bfbf2909e8,,TParham-YogaX1,device,,FALSE,FALSE,FALSE
3bb952bb-a9b7-4874-8539-05b6410911ed,,DVarney-P16,device,,FALSE,FALSE,FALSE
6a788905-e5a1-44e6-95fd-74b3b16435e9,,PTiwari-L14,device,,FALSE,FALSE,FALSE
b2aa6f52-80c3-4529-91b5-07b14d3bebf5,,MRICHARDSON-L14,device,,FALSE,FALSE,FALSE
267a4eae-efa0-4285-a890-4499076aac68,,BFOSTER-L14,device,,FALSE,FALSE,FALSE
9d7475de-d7e8-4c01-b7ef-b39fa615a8c5,,MLISHVIN-LENOVO,device,,FALSE,FALSE,FALSE
27495581-7284-4665-bfab-c5d44b590893,,NSMEKAL-L13,device,,FALSE,FALSE,FALSE
abb48063-1a9c-4b06-8c0b-b0afe8739b06,,MSHEETS-TB14,device,,FALSE,FALSE,FALSE
c16c8fd0-e901-41be-b273-7170a1f4c674,,PKenny-TB15,device,,FALSE,FALSE,FALSE
5a071442-1c2f-4ed9-941c-2d3af6b9597a,,JEhrenreich-X1,device,,FALSE,FALSE,FALSE
9061cd1f-53f9-406d-a7de-fde30436a558,,LPowers-L14,device,,FALSE,FALSE,FALSE
c2a345d8-5ad3-4ee8-a9ba-7b3eda58f4cb,,WLEVONE-YOGA9,device,,FALSE,FALSE,FALSE
75dacca4-5a9b-4b4d-892b-05f2e8b27939,,JTownsend-L14,device,,FALSE,FALSE,FALSE
802d14a1-5ba9-4831-92da-d2b1575bc94f,,EMcDonough-L14,device,,FALSE,FALSE,FALSE
