Application name,Application version
"Microsoft.WindowsAlarms","2021.2403.8.0"
"Microsoft.WindowsAppRuntime.1.2","2000.802.31.0"
"Microsoft.WindowsAppRuntime.1.3","3000.934.1904.0"
"Microsoft.WindowsAppRuntime.1.4","4000.1227.1637.0"
"Microsoft.WindowsAppRuntime.1.5","5001.119.156.0"
"Microsoft.WindowsCalculator","2021.2403.6.0"
"Microsoft.WindowsCamera","2024.2404.4.0"
"Microsoft.WindowsFeedbackHub","2024.510.1505.0"
"Microsoft.WindowsMaps","2022.2403.4.0"
"Microsoft.WindowsSoundRecorder","2021.2103.28.0"
"Microsoft.WindowsStore","22404.1401.2.0"
"Microsoft.Xbox.TCUI","1.24.10001.0"
"Microsoft.XboxApp","48.104.4001.0"
"Microsoft.XboxGameOverlay","1.54.4001.0"
"Microsoft.XboxGamingOverlay","7.124.5142.0"
"Microsoft.XboxIdentityProvider","12.95.3001.0"
"Microsoft.XboxSpeechToTextOverlay","1.21.13002.0"
"Microsoft.YourPhone","1.24051.101.0"
"Microsoft.ZuneMusic","11.2405.8.0"
"Microsoft.ZuneVideo","2019.22091.10061.0"
"NVIDIA Graphics Driver 513.36","513.36"
"NVIDIACorp.NVIDIAControlPanel","8.1.966.0"
"PVsyst","7.4.6"
"Priority Client Plugin","1.0"
"R for Windows 4.3.1","4.3.1"
"R for Windows 4.3.2","4.3.2"
"R for Windows 4.3.3","4.3.3"
"R for Windows 4.4.0","4.4.0"
"RStudio","2024.04.1+748"
"RealtekSemiconductorCorp.RealtekAudioControl","1.47.310.0"
"Remote help","4.0.1.13"
"SpotifyAB.SpotifyMusic","1.239.578.0"
"SynapticsIncorporated.241916F58D6E7","19005.19089.0.0"
"SynapticsIncorporated.SynapticsControlPanel","19005.19089.0.0"
"SynapticsIncorporated.SynapticsUtilities","1.1.18.0"
"Teams Machine-Wide Installer","1.6.0.24078"
"UiPath Studio","24.4.0.0"
"Webex","43.5.0.26155"
"Windows PC Health Check","3.6.2204.08001"
"Zoom Workplace (64-bit)","6.0.39959"
"microsoft.windowscommunicationsapps","16005.14326.21904.0"
"uniFLOW SmartClient","23.3.4"
